Driver,Time
No Seatbelt,13:30:46
No Seatbelt,13:30:47
No Seatbelt,13:30:47
No Seatbelt,13:30:47
No Seatbelt,13:30:48
Distracted,13:30:48
No Seatbelt,13:30:48
Distracted,13:30:48
No Seatbelt,13:30:48
Distracted,13:30:48
No Seatbelt,13:30:49
No Seatbelt,13:30:49
No Seatbelt,13:30:49
No Seatbelt,13:30:49
No Seatbelt,13:30:49
No Seatbelt,13:30:50
Distracted,13:30:50
No Seatbelt,13:30:50
Distracted,13:30:50
No Seatbelt,13:30:52
Distracted,13:30:52
No Seatbelt,13:30:52
Distracted,13:30:52
No Seatbelt,13:30:53
Distracted,13:30:53
No Seatbelt,13:30:53
Distracted,13:30:53
No Seatbelt,13:30:53
Distracted,13:30:53
No Seatbelt,13:30:54
Distracted,13:30:54
No Seatbelt,13:30:54
Distracted,13:30:54
No Seatbelt,13:30:54
Distracted,13:30:54
No Seatbelt,13:30:54
Distracted,13:30:55
No Seatbelt,13:30:56
Distracted,13:30:56
No Seatbelt,13:30:56
No Seatbelt,13:30:57
Distracted,13:30:57
No Seatbelt,13:31:10
Distracted,13:31:10
No Seatbelt,13:31:10
Distracted,13:31:10
No Seatbelt,13:31:10
Distracted,13:31:10
No Seatbelt,13:31:11
Distracted,13:31:11
No Seatbelt,13:31:11
Distracted,13:31:11
No Seatbelt,13:31:11
Distracted,13:31:11
No Seatbelt,13:31:12
Distracted,13:31:12
No Seatbelt,13:31:12
Distracted,13:31:12
No Seatbelt,13:31:12
Distracted,13:31:12
No Seatbelt,13:31:12
Distracted,13:31:13
No Seatbelt,13:31:13
Distracted,13:31:13
No Seatbelt,13:31:13
Distracted,13:31:13
No Seatbelt,13:31:14
No Seatbelt,13:31:14
No Seatbelt,13:31:14
No Seatbelt,13:31:14
No Seatbelt,13:31:14
No Seatbelt,13:31:15
No Seatbelt,13:31:15
No Seatbelt,13:31:15
No Seatbelt,13:31:15
No Seatbelt,13:31:16
No Seatbelt,13:31:16
No Seatbelt,13:31:16
No Seatbelt,13:31:16
No Seatbelt,13:31:16
No Seatbelt,13:31:17
No Seatbelt,13:31:17
No Seatbelt,13:31:17
No Seatbelt,13:31:18
No Seatbelt,13:31:18
No Seatbelt,13:31:18
No Seatbelt,13:31:18
No Seatbelt,13:31:19
No Seatbelt,13:31:20
Distracted,13:31:20
No Seatbelt,13:31:21
Distracted,13:31:21
No Seatbelt,13:31:21
No Seatbelt,13:31:21
No Seatbelt,13:31:21
Distracted,13:31:21
No Seatbelt,13:31:22
Distracted,13:31:22
No Seatbelt,13:31:22
Distracted,13:31:22
No Seatbelt,13:31:22
Distracted,13:31:22
No Seatbelt,13:31:23
Distracted,13:31:23
No Seatbelt,13:31:23
Distracted,13:31:23
No Seatbelt,13:31:23
Distracted,13:31:23
No Seatbelt,13:31:24
Distracted,13:31:24
No Seatbelt,13:31:24
Distracted,13:31:24
No Seatbelt,13:31:24
Distracted,13:31:24
No Seatbelt,13:31:25
Distracted,13:31:25
No Seatbelt,13:31:25
Distracted,13:31:25
No Seatbelt,13:31:25
Distracted,13:31:25
No Seatbelt,13:31:25
Distracted,13:31:25
No Seatbelt,13:31:26
Distracted,13:31:26
No Seatbelt,13:31:26
Distracted,13:31:26
No Seatbelt,13:31:28
No Seatbelt,13:31:28
No Seatbelt,13:31:29
No Seatbelt,13:31:30
